1.219179786504005314e+01,9.638086886437311485e-01
1.155552943102018837e+01,9.565514041732966488e-01
1.091985288052647363e+01,9.504289587026077957e-01
1.023908043288167669e+01,9.397213592545309302e-01
9.566229198879135254e+00,9.271540569645134733e-01
8.886908241472724512e+00,9.093503787203219835e-01
8.246405624489536734e+00,8.884048749036261849e-01
7.573554390486995302e+00,8.632702703235912711e-01
6.920112326696065352e+00,8.381356657435562463e-01
6.227851922481913327e+00,8.114301483772691226e-01
5.548530965075501697e+00,7.883900941789037109e-01
4.875679731072961154e+00,7.800118926522252583e-01
4.209298220474291696e+00,7.852482686063992912e-01
3.497628646048527301e+00,8.161428867360256412e-01
2.792428795026633992e+00,9.109212915065743044e-01
2.025773376320336716e+00,1.218000139176875996e+00
